,contentId,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
5533752987392101383,5533752987392101383,The return of the machinery question,How AWS came to be,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,America's allies are preparing for a bumpy ride,Finding The Meaning Of Artificial Intelligence At Google I/O
5545306236636747547,5545306236636747547,My Approach to Mobile Accessibility Testing - Ministry of Testing,5 Asian Trends for 2017,The future of SaaS hosted git repository pricing,O seu conteúdo está preparado para as duas internets?,Docker Cleanup Scripts Comparison
5558603035498264655,5558603035498264655,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,Achievement Unlocked : AWS Certified Solutions Architect Professional,AWS Certified Solutions Architect Professional – Study Guide – Domain 1.0 – High Availability and Business Continuity (15%)
5568089143939945595,5568089143939945595,How Companies Are Using Machine Learning to Get Faster and More Efficient,"National Coming Out Day - Wikipedia, the free encyclopedia",The White House Has Realized Artificial Intelligence Is Very Important,Comprar roupas está ficando fora de moda no Reino Unido,Program your way to your next grocery delivery
5619251370090681244,5619251370090681244,The emerging Darwinian approach to analytics and augmented intelligence,Google cloud boss Diane Greene: We're winning against AWS and Microsoft,Generative Models,Exclusive: Why Microsoft is betting its future on AI,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur
5619269934194012474,5619269934194012474,Terms Aggregation in Elastic Search,"Cozmo Is the Smartest, Cutest AI-Powered Robot You've Ever Seen",Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Hiri wants to fix the workplace email problem,Why Deep Learning Is Suddenly Changing Your Life
5640834597379907148,5640834597379907148,Creating value in auto finance with vLendRight | Kevin Moseri,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Carros conectados impulsionarão diferentes indústrias | Sonho Seguro,"Consórcio: Venda de novas cotas cai 13,5% no 1º trimestre"
5658521282502533116,5658521282502533116,Sua comunidade de Teste.,My Approach to Mobile Accessibility Testing - Ministry of Testing,Humanos seriam desse jeito se evoluíssem para sobreviver a acidentes de carro,Como Usar o Git e o GitHub,Sesi oferece curso de LIBRAS com certificação de 40 horas
5659318589553771161,5659318589553771161,Extreme Style Machines:Using Random Neural Networks to Generate Textures,Twitter adds a button to help you train its algorithm,Finding The Meaning Of Artificial Intelligence At Google I/O,Grow fast or die slow: Focusing on customer success to drive growth,DeepMind moves to TensorFlow
5669290109546991426,5669290109546991426,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Put a ring on it: three smart rings with plenty of beauty and brains,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017","STEMTera, uma protoboard com Arduino Uno embutido",Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery
5672978373195158195,5672978373195158195,"No dia das mães, Avon lança campanha com mãe de jovem gay",Amor sem fronteiras: série de fotos retrata casais gays pelo mundo,How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments
5681075485882787671,5681075485882787671,O futuro das interfaces: Chatbots - Tableless,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Building immutable entities into Google Cloud Datastore,"As Artificial Intelligence Evolves, So Does Its Criminal Potential",Aplicações da Inteligência artificial | Endeavor Brasil
5684817723169964056,5684817723169964056,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",Google Calendar for Android can now find meeting times that work for everyone,Ray Kurzweil Predicts Three Technologies Will Define Our Future
5688279681867464747,5688279681867464747,How to Think Exponentially and Better Predict the Future,"Facebook details its company-wide machine learning platform, FBLearner Flow","Google acquires Synergyse, an interactive training service for Google Apps",Building more accessible technology,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free"
5701873751630396950,5701873751630396950,"Conheça a Liga IoT, plataforma de inovação aberta que irá acelerar projetos ligados a Internet das Coisas",Google Maps agora mostra se local tem entrada com acessibilidade | Google Discovery,15 Awesome Sublime Text Plugins For Web Development,Udacity abre código de simulador de carro autônomo para quem quiser testar,Kickstarter 3D printer will print circuit boards as part of your designs
5714314286511882372,5714314286511882372,Mobile Time,Time Pressure: Behavioral Science Considerations for Mobile Marketing,Samsung se alia a bancos para lançar pagamento por celular no Brasil,Dinheiro pode sair de circulação na Suécia até 2030,Failing model: Plastic Card + App and Card + Wallet Players?
5714874452041944640,5714874452041944640,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),Achievement Unlocked : AWS Certified Solutions Architect Professional
5719793245136119929,5719793245136119929,Nubank envia Pikachu para cliente que pediu desbloqueio de cartão e do Pokémon Go,"Bancos brasileiros aplicaram R$ 19,2 bilhões em esforços de TI em 2015",Mobile banking conquista o coração dos brasileiros,CMN regulamenta abertura de conta de depósito por meio eletrônico,Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais
5726008417498979736,5726008417498979736,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",[Tools] XMind Plus - Last Chance for students' 1$ gift,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio,[Webinar] PMI | Project Management Institute,Onde a tecnologia e o cuidado se encontram? - Saúde Business
5728858831120768412,5728858831120768412,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,Million Song Dataset | scaling MIR research,The new 64-bit Orange Pi is a quad-core computer for $20,Hintjens.com,Elastic Stack 5.0.0 Released
5787934590133549357,5787934590133549357,Support your Gmail users more easily with revamped bounce messages and message headers,Google is quietly recording everything you say. Here's how to hear it,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Save time with Quick Access in Drive,Conheça o Google Duo: um app de chamadas de vídeo para todos
5795281877636738272,5795281877636738272,AI Revolution 101 - AI Revolution,Cognitive Services-Intelligence Applications | Microsoft Azure,Mycroft: The open source answer to natural language platforms,What DeepMind brings to Alphabet,It's The Future
5806996498600223274,5806996498600223274,Dicionário Priberam da Língua Portuguesa,Sesi oferece curso de LIBRAS com certificação de 40 horas,"Android N Developer Preview 2, out today! | Android Developers Blog",Android Quickstart - Firebase,"ConstraintLayout, Inside and Out: Part 2"
5816734694927565572,5816734694927565572,Cubr,IBM Watson e a revolução pela inteligência artificial | Udacity,Microsoft's Open Source Love Affair Reaches New Heights,Mycroft: The open source answer to natural language platforms,The next wave in software is open adoption software
5822211783543822544,5822211783543822544,Google HR chief Laszlo Bock leaving to launch startup,Google employees are adding 'Lady' to their job titles to fight sexism,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,"Entrevista com Alejandro Formanchuk: ""Funcionário não é público interno - é ator extremo"" - Blog do Love Mondays",8 things to expect from Google's biggest event of the year
5831479026588423198,5831479026588423198,The Biggest list of 35 FREE UX Books,55 fornecedores de TI que apresentarão novidades no Ciab 2016,1% das empresas dominam 94% das receitas na App Store,"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Inception (2010)
5842191581670322333,5842191581670322333,TI Bimodal? Receita para o desastre...,"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com",Three Lessons for Design-Driven Success,Portal Mercado & Consumo,Paquetá investe em tecnologia inédita no varejo brasileiro
5843362068320522769,5843362068320522769,Former Google career coach shares a visual trick for figuring out what to do with your life,Amazon has a huge opportunity in grocery delivery,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Lean IT is all about people - o Lean na TI é focado em pessoas,O que é liderança? Liderança é fazer a diversidade funcionar.
5847042211895226591,5847042211895226591,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,Hintjens.com,The new 64-bit Orange Pi is a quad-core computer for $20,"New functional programming language can generate C, Python code for apps","9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices"
5847540986736720765,5847540986736720765,Nubank envia Pikachu para cliente que pediu desbloqueio de cartão e do Pokémon Go,"Conheça a Liga IoT, plataforma de inovação aberta que irá acelerar projetos ligados a Internet das Coisas",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,35 Innovative and Inspirational Website Designs in Banking,Nubank e Goldman fecham parceria de R$ 200 milhões
